SY-ZHL-4F-M2B11-15U-NW-CORE-S12700E-01,10.61.241.254,huawei
SY-ZHL-4F-M2B13-15U-NW-AGG2-S7706-01,10.61.240.2,huawei
SY-ZHL-4F-M2B12-15U-NW-AGG1-S7706-01,10.61.240.1,huawei
SY-KYL-5F-16#01-24U-NW-ACC-S5731,10.61.240.4,huawei
SY-KYL-5F-15#01-30U-NW-ACC-S5731,10.61.240.111,huawei
SY-KYL-5F-16#01-30U-NW-ACC-S5731,10.61.240.189,huawei
SY-KYL-4F-16#01-30U-NW-ACC-S5731,10.61.240.94,huawei
SY-KYL-8F-16#01-30U-NW-ACC-S5731,10.61.240.63,huawei
SY-KYL-8F-15#01-30U-NW-ACC-S5731,10.61.240.177,huawei
SY-KYL-7F-16#01-30U-NW-ACC-S5731,10.61.240.51,huawei
SY-KYL-7F-15#01-30U-NW-ACC-S5731,10.61.240.52,huawei
SY-KYL-2F-16#01-33U-NW-ACC-S5731,10.61.240.38,huawei
SY-KYL-6F-16#01-36U-NW-ACC-S5731,10.61.240.181,huawei
SY-KYL-1F-16#01-30U-NW-ACC-S5731,10.61.240.104,huawei
SY-KYL-1F-15#01-36U-NW-ACC-S5731,10.61.240.122,huawei
SY-1#ZYL-1F-07#01-30U-NW-ACC-S5731,10.61.240.30,huawei
SY-1#ZYL-1F-06#01-30U-NW-ACC-S5731,10.61.240.28,huawei
SY-1#ZYL-1F-05#01-30U-NW-ACC-S5731,10.61.240.29,huawei
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,huawei
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,huawei
SY-KYL-9F-15#01-30U-NW-ACC-S5731,10.61.240.55,huawei
SY-1#ZYL-1F-08#01-33U-NW-ACC-S5731,10.61.240.12,huawei
SY-ZHL-3F-14#01-30U-NW-ACC-S5731,10.61.240.48,huawei
SY-ZHL-4F-11#01-30U-NW-ACC-S5731,10.61.240.25,huawei
SY-ZHL-4F-12#01-30U-NW-ACC-S5731,10.61.240.27,huawei
SY-ZHL-5F-11#01-30U-NW-ACC-S5731,10.61.240.83,huawei
SY-ZHL-6F-13#01-30U-NW-ACC-S5731,10.61.240.80,huawei
SY-1#ZYL-B1-01#01-30U-NW-ACC-S5731,10.61.240.56,huawei
SY-1#ZYL-B1-02#01-30U-NW-ACC-S5731,10.61.240.182,huawei
SY-2#ZYL-B1-03#01-30U-NW-ACC-S5731,10.61.240.59,huawei
SY-2#ZYL-B1-04#01-33U-NW-ACC-S5731,10.61.240.57,huawei
SY-2#ZYL-B1-4-1#01-30U-NW-ACC-S5731,10.61.240.58,huawei
SY-2#ZYL-B1-4-2#01-25U-NW-ACC-S5731,10.61.240.148,huawei
SY-1#ZYL-B1-05#01-30U-NW-ACC-S5731,10.61.240.61,huawei
SY-1#ZYL-B1-07#01-30U-NW-ACC-S5731,10.61.240.65,huawei
SY-2#ZYL-B2-04#01-33U-NW-ACC-S5731,10.61.240.158,huawei
SY-2#ZYL-B2-4-3#01-30U-NW-ACC-S5731,10.61.240.167,huawei
SY-ZHL-B2-05#01-30U-NW-ACC-S5731,10.61.240.170,huawei
SY-1#ZYL-B2-06#01-33U-NW-ACC-S5731,10.61.240.169,huawei
SY-1#ZYL-B2-07#01-30U-NW-ACC-S5731,10.61.240.166,huawei
SY-1#ZYL-B2-08#01-33U-NW-ACC-S5731,10.61.240.164,huawei
SY-ZHL-B2-09#01-33U-NW-ACC-S5731,10.61.240.176,huawei
SY-ZHL-B2-10#01-33U-NW-ACC-S5731,10.61.240.172,huawei
SY-ZHL-B2-11#01-33U-NW-ACC-S5731,10.61.240.171,huawei
SY-ZHL-B2-12#01-33U-NW-ACC-S5731,10.61.240.173,huawei
SY-ZHL-B2-13#01-33U-NW-ACC-S5731,10.61.240.16,huawei
SY-B2-14-1#01-24U-NW-ACC-S5731,10.61.240.161,huawei
SY-ZHL-B2-14#01-30U-NW-ACC-S5731,10.61.240.174,huawei
SY-KYL-B2-15#01-33U-NW-ACC-S5731,10.61.240.110,huawei
SY-KYL-B2-16#01-36U-NW-ACC-S5731,10.61.240.76,huawei
SY-B2-B-1#01-27U-NW-ACC-S5731,10.61.240.53,huawei
SY-B2-B-2-1#01-33U-NW-ACC-S5731,10.61.240.26,huawei
SY-B2-B-2#01-33U-NW-ACC-S5731,10.61.240.163,huawei
SY-B2-B-3#01-33U-NW-ACC-S5731,10.61.240.175,huawei
SY-B2-B-4#01-33U-NW-ACC-S5731,10.61.240.160,huawei
SY-B2-B-5#01-33U-NW-ACC-S5731,10.61.240.155,huawei
SY-B2-B-6#01-30U-NW-ACC-S5731,10.61.240.151,huawei
SY-1#ZYL-B3-01#01-30U-NW-ACC-S5731,10.61.240.68,huawei
SY-1#ZYL-B3-02#01-30U-NW-ACC-S5731,10.61.240.37,huawei
SY-2#ZYL-B3-04#01-30U-NW-ACC-S5731,10.61.240.71,huawei
SY-1#ZYL-B3-05#01-30U-NW-ACC-S5731,10.61.240.75,huawei
SY-1#ZYL-B3-07#01-33U-NW-ACC-S5731,10.61.240.74,huawei
SY-1#ZYL-B3-08#01-30U-NW-ACC-S5731,10.61.240.66,huawei
SY-ZHL-B3-10#01-33U-NW-ACC-S5731,10.61.240.180,huawei
SY-ZHL-B3-11#01-33U-NW-ACC-S5731,10.61.240.73,huawei
SY-B3-B-1#01-30U-NW-ACC-S5731,10.61.240.69,huawei
SY-B3-B-6#01-33U-NW-ACC-S5731,10.61.240.72,huawei
SY-ZHL-B3-13#01-33U-NW-ACC-S5731,10.61.240.178,huawei
SY-1#ZYL-B1-08#01-33U-NW-ACC-S5731,10.61.240.64,huawei
SY-ZHL-B1-09#01-30U-NW-ACC-S5731,10.61.240.183,huawei
SY-ZHL-B1-10#01-33U-NW-ACC-S5731,10.61.240.62,huawei
SY-ZHL-B1-11#01-30U-NW-ACC-S5731,10.61.240.90,huawei
SY-ZHL-B1-12#02-36U-NW-ACC-S5731,10.61.240.157,huawei
SY-ZHL-B1-13#01-30U-NW-ACC-S5731,10.61.240.107,huawei
SY-ZHL-B1-14#01-33U-NW-ACC-S5731,10.61.240.109,huawei
SY-B1-B-6#01-35U-NW-ACC-S5731,10.61.240.13,huawei
SY-KYL-B1-15#01-30U-NW-ACC-S5731,10.61.240.96,huawei
SY-B1-B-3#01-36U-NW-ACC-S5731,10.61.240.97,huawei
SY-KYL-B1-16#01-30U-NW-ACC-S5731,10.61.240.98,huawei
SY-B1-B-1-1#01-30U-NW-ACC-S5731,10.61.240.108,huawei
SY-1#ZYL-B2-01#01-30U-NW-ACC-S5731,10.61.240.152,huawei
SY-B2-2-1#01-33U-NW-ACC-S5731,10.61.240.196,huawei
SY-1#ZYL-B2-02#01-33U-NW-ACC-S5731,10.61.240.153,huawei
SY-B2-2-2#01-30U-NW-ACC-S5731,10.61.240.162,huawei
SY-2#ZYL-B2-03#01-33U-NW-ACC-S5731,10.61.240.154,huawei
SY-1#ZYL-2F-05#01-33U-NW-ACC-S5731,10.61.240.40,huawei
SY-1#ZYL-2F-06#01-33U-NW-ACC-S5731,10.61.240.39,huawei
SY-1#ZYL-2F-07#01-33U-NW-ACC-S5731,10.61.240.126,huawei
SY-1#ZYL-3F-01#01-38U-NW-ACC-S5731,10.61.240.7,huawei
SY-1#ZYL-3F-05#01-33U-NW-ACC-S5731,10.61.240.42,huawei
SY-1#ZYL-3F-07#01-33U-NW-ACC-S5731,10.61.240.129,huawei
SY-1#ZYL-4F-06#01-30U-NW-ACC-S5731,10.61.240.33,huawei
SY-1#ZYL-4F-07#01-30U-NW-ACC-S5731,10.61.240.20,huawei
SY-1#ZYL-4F-08#01-33U-NW-ACC-S5731,10.61.240.128,huawei
SY-2#ZYL-1F-04#01-30U-NW-ACC-S5731,10.61.240.149,huawei
SY-2#ZYL-2F-03#01-30U-NW-ACC-S5731,10.61.240.6,huawei
SY-2#ZYL-3F-04#01-36U-NW-ACC-S5731,10.61.240.138,huawei
SY-ZHL-1F-09#01-36U-NW-ACC-S5731,10.61.240.100,huawei
SY-ZHL-1F-10#01-33U-NW-ACC-S5731,10.61.240.101,huawei
SY-ZHL-2F-09#01-33U-NW-ACC-S5731,10.61.240.31,huawei
SY-ZHL-2F-10#01-30U-NW-ACC-S5731,10.61.240.41,huawei
SY-ZHL-3F-09#01-30U-NW-ACC-S5731,10.61.240.43,huawei
SY-ZHL-1F-14#01-33U-NW-ACC-S5731,10.61.240.103,huawei
SY-ZHL-2F-11#01-33U-NW-ACC-S5731,10.61.240.34,huawei
SY-ZHL-2F-13#01-36U-NW-ACC-S5731,10.61.240.19,huawei
SY-ZHL-2F-14#01-33U-NW-ACC-S5731,10.61.240.36,huawei
SY-ZHL-3F-11#01-30U-NW-ACC-S5731,10.61.240.45,huawei
SY-ZHL-3F-13#01-36U-NW-ACC-S5731,10.61.240.106,huawei
SY-ZHL-B3-14#01-33U-NW-ACC-S5731,10.61.240.125,huawei
SY-KYL-B3-15#01-30U-NW-ACC-S5731,10.61.240.70,huawei
SY-KYL-B3-15-2#01-33U-NW-ACC-S5731,10.61.240.67,huawei
SY-B3-FHZB3#01-33U-NW-ACC-S5731,10.61.240.77,huawei
SY-B3-B-2#01-30U-NW-ACC-S5731,10.61.240.3,huawei
SY-B3-B-3#01-33U-NW-ACC-S5731,10.61.240.179,huawei
SY-B3-B-4#01-30U-NW-ACC-S5731,10.61.240.142,huawei
SY-B1-B-5-2#01-30U-NW-ACC-S5731,10.61.240.102,huawei
SY-B1-5-1#01-30U-NW-ACC-S5731,10.61.240.93,huawei
SY-B1-B-2#01-30U-NW-ACC-S5731,10.61.240.91,huawei
SY-ZHL-1F-13#01-30U-NW-ACC-S5731,10.61.240.22,huawei
SY-2#ZYL-1F-04#01-24U-NW-ACC-S5731,10.61.240.150,huawei
SY-ZHL-1F-10#01-27U-NW-ACC-S5731,10.61.240.131,huawei
SY-ZHL-2F-10#01-24U-NW-ACC-S5731,10.61.240.133,huawei
SY-2#ZYL-1F-03#01-36U-NW-ACC-S5731,10.61.240.105,huawei
SY-ZHL-2F-11#01-27U-NW-ACC-S5731,10.61.240.134,huawei
SY-ZHL-2F-12#01-21U-NW-ACC-S5731,10.61.240.136,huawei
SY-ZHL-2F-13#01-24U-NW-ACC-S5731,10.61.240.140,huawei
SY-ZHL-2F-14#01-27U-NW-ACC-S5731,10.61.240.135,huawei
SY-ZHL-3F-11#01-24U-NW-ACC-S5731,10.61.240.115,huawei
SY-ZHL-3F-09#01-24U-NW-ACC-S5731,10.61.240.137,huawei
SY-1#ZYL-5F-01#01-36U-NW-ACC-S5731,10.61.240.139,huawei
SY-1#ZYL-B1-13#01-24U-NW-ACC-S5731,10.61.240.156,huawei
SY-2#ZYL-B1-03#01-24U-NW-ACC-S5731,10.61.240.145,huawei
SY-2#ZYL-B1-4-1#01-8U-NW-ACC-S5731,10.61.240.144,huawei
SY-2#ZYL-B1-4-2#01-20U-NW-ACC-S5731,10.61.240.146,huawei
SY-1#ZYL-B1-08#01-30U-NW-ACC-S5731,10.61.240.159,huawei
SY-ZHL-B1-09#01-27U-NW-ACC-S5731,10.61.240.11,huawei
SY-B1-B-3#01-33U-NW-ACC-S5731,10.61.240.147,huawei
SY-B1-B-5-2#01-18U-NW-ACC-S5731,10.61.240.143,huawei
SY-B1-B-6#01-29U-NW-ACC-S5731,10.61.240.14,huawei
SY-2#ZYL-B2-4-3#01-24U-NW-ACC-S5731,10.61.240.168,huawei
SY-KYL-1F-15#01-30U-NW-ACC-S5731,10.61.240.79,huawei
SY-KYL-1F-15#01-24U-NW-ACC-S5731,10.61.240.82,huawei
SY-KYL-1F-16#01-24U-NW-ACC-S5731,10.61.240.84,huawei
SY-KYL-1F-16#01-12U-NW-ACC-S5731,10.61.240.81,huawei
SY-KYL-2F-16#01-27U-NW-ACC-S5731,10.61.240.95,huawei
SY-KYL-2F-16#01-21U-NW-ACC-S5731,10.61.240.87,huawei
SY-1#ZYL-3F-01#01-24U-NW-ACC-S5731,10.61.240.190,huawei
SY-2#ZYL-3F-04#01-24U-NW-ACC-S5731,10.61.240.165,huawei
SY-1#ZYL-4F-02#01-24U-NW-ACC-S5731,10.61.240.192,huawei
SY-KYL-3F-15#01-18U-NW-ACC-S5731,10.61.240.88,huawei
SY-KYL-3F-16#01-18U-NW-ACC-S5731,10.61.240.78,huawei
SY-KYL-2F-15#01-18U-NW-ACC-S5731,10.61.240.112,huawei
SY-ZHL-2F-09#01-27U-NW-ACC-S5731,10.61.240.116,huawei
SY-KYL-2F-16#01-15U-NW-ACC-S5731,10.61.240.188,huawei
SY-ZHL-B1-13#01-18U-NW-ACC-S5731,10.61.240.120,huawei
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,huawei
SY-B2-B-2#01-27U-NW-ACC-S5731,10.61.240.121,huawei
SY-ZHL-1F-10#01-21U-NW-ACC-S5731,10.61.240.185,huawei
SY-ZHL-1F-14#01-27U-NW-ACC-S5731,10.61.240.184,huawei
SY-ZHL-1F-12#01-12U-NW-ACC-S5731,10.61.240.114,huawei
SY-ZHL-3F-10#01-15U-NW-ACC-S5731,10.61.240.113,huawei
SY-2#ZYL-1F-03#01-18U-NW-ACC-S5731,10.61.240.132,huawei
SY-ZHL-2F-12#01-15U-NW-ACC-S5731,10.61.240.118,huawei
SY-ZHL-2F-13#01-18U-NW-ACC-S5731,10.61.240.117,huawei
SY-ZHL-2F-14#01-21U-NW-ACC-S5731,10.61.240.119,huawei
SY-KYL-1F-16#01-18U-NW-ACC-S5731,10.61.240.186,huawei
SY-ZHL-1F-12#02-23U-NW-ACC-S5731,10.61.240.193,huawei
SY-B1-B-5#01-36U-NW-ACC-S5731,10.61.240.92,huawei
SY-ZHL-1F-12#02-5U-NW-ACC-S5731,10.61.240.195,huawei
SY-ZHL-1F-13#01-18U-NW-ACC-S5731,10.61.240.199,huawei
SY-1#ZYL-6F-02#01-24U-NW-ACC-S5731,10.61.240.203,huawei
SY-B1-B-4#01-36U-NW-ACC-S5731,10.61.240.23,huawei
SY-ZHL-3F-14#01-24U-NW-ACC-S5731,10.61.240.198,huawei
SY-1#ZYL-7F-01#01-36U-NW-ACC-S5731,10.61.240.206,huawei
SY-ZHL-B1-B-5#01-30U-NW-ACC-S5731,10.61.240.200,huawei
SY-ZHL-B1-12#02-30U-NW-ACC-S5731,10.61.240.204,huawei
SY-1#ZYL-7F-02#01-36U-NW-ACC-S5731,10.61.240.197,huawei
SY-2#ZYL-5F-03#01-36U-NW-ACC-S5731,10.61.240.209,huawei
