
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/35      ,hybrid,1,-                               ,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/36      ,hybrid,1,-                               ,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/37      ,hybrid,1,-                               ,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/38      ,hybrid,1,-                               ,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/39      ,hybrid,1,-                               ,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/40      ,hybrid,1,-                               ,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/41      ,hybrid,1,-                               ,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/42      ,hybrid,1,-                               ,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/43      ,hybrid,1,-                               ,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/44      ,hybrid,1,-                               ,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/45      ,hybrid,1,-                               ,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/46      ,hybrid,1,-                               ,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/47      ,hybrid,1,-                               ,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/48      ,hybrid,1,-                               ,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,XGigabitEthernet0/0/1      ,desirable,1,1-4094,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,XGigabitEthernet0/0/2      ,desirable,1,1-4094,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,XGigabitEthernet0/0/3      ,-,0,-                               ,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,XGigabitEthernet0/0/4      ,-,0,-                               ,
