
SY-1#ZYL-2F-08#01-33U-NW-ACC-S5731,10.61.240.127,XGigabitEthernet1/0/4,-4.00,-2.57,
SY-1#ZYL-3F-01#01-24U-NW-ACC-S5731,10.61.240.190,XGigabitEthernet0/0/3,-11.46,-3.11,
SY-1#ZYL-3F-01#01-24U-NW-ACC-S5731,10.61.240.190,XGigabitEthernet0/0/4,-5.28,-2.24,
SY-1#ZYL-3F-01#01-38U-NW-ACC-S5731,10.61.240.7,XGigabitEthernet0/0/3,-4.23,-2.22,
SY-1#ZYL-3F-01#01-38U-NW-ACC-S5731,10.61.240.7,XGigabitEthernet0/0/4,-3.37,-3.13,
SY-1#ZYL-3F-02#01-18U-NW-ACC-S5731,10.61.240.221,XGigabitEthernet0/0/1,-2.52,-1.98,
SY-1#ZYL-3F-02#01-18U-NW-ACC-S5731,10.61.240.221,XGigabitEthernet0/0/2,-3.10,-2.05,
SY-1#ZYL-3F-02#01-18U-NW-ACC-S5731,10.61.240.221,XGigabitEthernet0/0/4,-5.77,-1.95,
SY-1#ZYL-3F-02#01-18U-NW-ACC-S5731,10.61.240.221,XGigabitEthernet1/0/1,-5.11,-2.32,
SY-1#ZYL-3F-02#01-18U-NW-ACC-S5731,10.61.240.221,XGigabitEthernet1/0/2,-3.19,-2.16,
SY-1#ZYL-3F-02#01-18U-NW-ACC-S5731,10.61.240.221,XGigabitEthernet1/0/4,-5.60,-2.67,
SY-1#ZYL-3F-02#01-36U-NW-ACC-S5731,10.61.240.9,XGigabitEthernet0/0/1,-2.23,-1.76,
SY-1#ZYL-3F-02#01-36U-NW-ACC-S5731,10.61.240.9,XGigabitEthernet0/0/2,-2.93,-2.01,
SY-1#ZYL-3F-02#01-36U-NW-ACC-S5731,10.61.240.9,XGigabitEthernet0/0/4,-13.29,-2.04,
SY-1#ZYL-3F-02#01-36U-NW-ACC-S5731,10.61.240.9,XGigabitEthernet1/0/1,-3.62,-2.09,
SY-1#ZYL-3F-02#01-36U-NW-ACC-S5731,10.61.240.9,XGigabitEthernet1/0/2,-2.06,-1.85,
SY-1#ZYL-3F-02#01-36U-NW-ACC-S5731,10.61.240.9,XGigabitEthernet1/0/4,-5.53,-1.85,
SY-1#ZYL-3F-02#01-36U-NW-ACC-S5731,10.61.240.9,XGigabitEthernet2/0/1,-2.31,-1.95,
SY-1#ZYL-3F-02#01-36U-NW-ACC-S5731,10.61.240.9,XGigabitEthernet2/0/2,-2.14,-2.23,
SY-1#ZYL-3F-05#01-33U-NW-ACC-S5731,10.61.240.42,XGigabitEthernet0/0/3,-2.64,-3.02,
SY-1#ZYL-3F-05#01-33U-NW-ACC-S5731,10.61.240.42,XGigabitEthernet0/0/4,-3.93,-1.65,
SY-1#ZYL-3F-07#01-33U-NW-ACC-S5731,10.61.240.129,XGigabitEthernet0/0/3,-3.31,-3.58,
SY-1#ZYL-3F-07#01-33U-NW-ACC-S5731,10.61.240.129,XGigabitEthernet0/0/4,-3.70,-1.89,
SY-1#ZYL-4F-01#01-30U-NW-ACC-S5731,10.61.240.191,XGigabitEthernet0/0/1,-2.81,-2.36,
SY-1#ZYL-4F-01#01-30U-NW-ACC-S5731,10.61.240.191,XGigabitEthernet0/0/2,-3.28,-2.03,
SY-1#ZYL-4F-01#01-30U-NW-ACC-S5731,10.61.240.191,XGigabitEthernet0/0/4,-6.30,-2.46,
SY-1#ZYL-4F-01#01-30U-NW-ACC-S5731,10.61.240.191,XGigabitEthernet1/0/1,-2.50,-3.15,
SY-1#ZYL-4F-01#01-30U-NW-ACC-S5731,10.61.240.191,XGigabitEthernet1/0/2,-2.29,-3.37,
SY-1#ZYL-4F-01#01-30U-NW-ACC-S5731,10.61.240.191,XGigabitEthernet1/0/4,-8.02,-2.10,
SY-1#ZYL-4F-02#01-24U-NW-ACC-S5731,10.61.240.192,XGigabitEthernet0/0/3,-5.57,-1.77,
SY-1#ZYL-4F-02#01-24U-NW-ACC-S5731,10.61.240.192,XGigabitEthernet0/0/4,-5.17,-2.80,
SY-1#ZYL-4F-06#01-30U-NW-ACC-S5731,10.61.240.33,XGigabitEthernet0/0/3,-3.27,-2.61,
SY-1#ZYL-4F-06#01-30U-NW-ACC-S5731,10.61.240.33,XGigabitEthernet0/0/4,-3.12,-3.58,
SY-1#ZYL-4F-07#01-30U-NW-ACC-S5731,10.61.240.20,XGigabitEthernet0/0/3,-4.55,-3.48,
SY-1#ZYL-4F-07#01-30U-NW-ACC-S5731,10.61.240.20,XGigabitEthernet0/0/4,-5.07,-1.48,
SY-1#ZYL-4F-08#01-33U-NW-ACC-S5731,10.61.240.128,XGigabitEthernet0/0/3,-4.21,-3.03,
SY-1#ZYL-4F-08#01-33U-NW-ACC-S5731,10.61.240.128,XGigabitEthernet0/0/4,-5.13,-2.94,
SY-1#ZYL-5F-01#01-30U-NW-ACC-S5731,10.61.240.223,XGigabitEthernet0/0/3,-5.26,-1.91,
SY-1#ZYL-5F-01#01-30U-NW-ACC-S5731,10.61.240.223,XGigabitEthernet0/0/4,-7.37,-1.95,
SY-1#ZYL-5F-01#01-36U-NW-ACC-S5731,10.61.240.139,XGigabitEthernet0/0/3,-4.24,-2.86,
SY-1#ZYL-5F-01#01-36U-NW-ACC-S5731,10.61.240.139,XGigabitEthernet0/0/4,-4.50,-3.41,
SY-1#ZYL-6F-01#01-24U-NW-ACC-S5731,10.61.240.210,XGigabitEthernet0/0/1,-4.36,-2.52,
SY-1#ZYL-6F-01#01-24U-NW-ACC-S5731,10.61.240.210,XGigabitEthernet0/0/2,-4.75,-2.69,
SY-1#ZYL-6F-01#01-24U-NW-ACC-S5731,10.61.240.210,XGigabitEthernet0/0/4,-4.65,-2.33,
SY-1#ZYL-6F-01#01-24U-NW-ACC-S5731,10.61.240.210,XGigabitEthernet1/0/1,-4.99,-3.29,
SY-1#ZYL-6F-01#01-24U-NW-ACC-S5731,10.61.240.210,XGigabitEthernet1/0/2,-2.55,-3.64,
SY-1#ZYL-6F-01#01-24U-NW-ACC-S5731,10.61.240.210,XGigabitEthernet1/0/4,-6.81,-2.54,
SY-1#ZYL-6F-02#01-24U-NW-ACC-S5731,10.61.240.203,XGigabitEthernet0/0/1,-4.22,-3.35,
SY-1#ZYL-6F-02#01-24U-NW-ACC-S5731,10.61.240.203,XGigabitEthernet0/0/2,-4.92,-1.73,
SY-1#ZYL-6F-02#01-24U-NW-ACC-S5731,10.61.240.203,XGigabitEthernet0/0/4,-4.17,-3.27,
SY-1#ZYL-6F-02#01-24U-NW-ACC-S5731,10.61.240.203,XGigabitEthernet1/0/1,-2.06,-3.22,
SY-1#ZYL-6F-02#01-24U-NW-ACC-S5731,10.61.240.203,XGigabitEthernet1/0/2,-2.99,-3.30,
SY-1#ZYL-6F-02#01-24U-NW-ACC-S5731,10.61.240.203,XGigabitEthernet1/0/4,-5.15,-3.31,
SY-1#ZYL-6F-02#01-30U-NW-ACC-S5731,10.61.240.222,XGigabitEthernet0/0/3,-5.76,-3.23,
SY-1#ZYL-6F-02#01-30U-NW-ACC-S5731,10.61.240.222,XGigabitEthernet0/0/4,-8.45,-1.91,
SY-1#ZYL-7F-01#01-36U-NW-ACC-S5731,10.61.240.206,XGigabitEthernet0/0/1,-2.46,-2.20,
SY-1#ZYL-7F-01#01-36U-NW-ACC-S5731,10.61.240.206,XGigabitEthernet0/0/2,-2.88,-1.71,
SY-1#ZYL-7F-01#01-36U-NW-ACC-S5731,10.61.240.206,XGigabitEthernet0/0/4,-3.83,-3.35,
SY-1#ZYL-7F-01#01-36U-NW-ACC-S5731,10.61.240.206,XGigabitEthernet1/0/1,-3.17,-3.97,
SY-1#ZYL-7F-01#01-36U-NW-ACC-S5731,10.61.240.206,XGigabitEthernet1/0/2,-2.37,-2.15,
