设备名称,管理IP,端口,物理状态,协议状态,端口UP时间,端口DOWN时间,速率,双工,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/37,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/38,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/39,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/40,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/41,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/42,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/43,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/44,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/45,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/46,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/47,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/48,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,XGigabitEthernet0/0/1,DOWN,DOWN,-,2024/1/4 8:37,10000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,XGigabitEthernet0/0/2,DOWN,DOWN,-,2024/1/4 8:37,10000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,XGigabitEthernet0/0/3,UP,UP,2024-04-07 14:34:56 UTC+08:00,2024-04-07 14:34:50 UTC+08:00,10000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,XGigabitEthernet0/0/4,UP,UP,2024-04-07 14:36:16 UTC+08:00,2024-04-07 14:35:26 UTC+08:00,10000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/1,UP,UP,2024-05-15 07:00:12 UTC+08:00,2024-05-15 07:00:06 UTC+08:00,100,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/2,UP,UP,2024-05-15 07:00:10 UTC+08:00,2024-05-15 07:00:05 UTC+08:00,100,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/3,UP,UP,2024-05-15 07:00:14 UTC+08:00,2024-05-15 07:00:09 UTC+08:00,100,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/4,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/5,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/6,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/7,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/8,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/9,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/10,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/11,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/12,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/13,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/14,DOWN,DOWN,2024-03-09 13:00:33 UTC+08:00,2024-04-02 08:53:05 UTC+08:00,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/15,DOWN,DOWN,2024-04-17 15:07:14 UTC+08:00,2024-04-17 15:07:52 UTC+08:00,1000,FULL,,,,
