
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/43      ,hybrid,1030,-                               ,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/44      ,hybrid,1030,-                               ,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/45      ,hybrid,1030,-                               ,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/46      ,hybrid,1030,-                               ,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/47      ,hybrid,1030,-                               ,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/48      ,hybrid,1030,-                               ,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,XGigabitEthernet0/0/1      ,desirable,1,1-4094,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,XGigabitEthernet0/0/2      ,desirable,1,1-4094,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,XGigabitEthernet0/0/3      ,-,0,-                               ,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,XGigabitEthernet0/0/4      ,-,0,-                               ,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,Eth-Trunk127               ,trunk,1,1 1000-1015 1031-1032 1500-1538 ,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/1       ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/2       ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/3       ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/4       ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/5       ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/6       ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/7       ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/8       ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/9       ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/10      ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/11      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/12      ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/13      ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/14      ,hybrid,1,1000-1015 1031 1500-1538,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/15      ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/16      ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/17      ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/18      ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/19      ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/20      ,hybrid,1,1000-1015 1031 1500-1538,
