弱电间,列1,序列号,列2,列3,列4,列5,列6,过线柜弱电间侧,列7,列8,过线柜机房侧,列9,列10,机房机柜侧,列11,列12,列13,列14,列15
4F,13#,102377155561,无线POE交换机,33U,XG0/0/3,41U,1口,无线3柜-正,34U,25口,无线3柜-正,12U,10口,B24,背-38U,10口,无线汇聚7706-1,15-24U,XGE4/0/20
4F,15#,102376880768,无线POE交换机,12U,XG0/0/3,38U,1口,无线3柜-正,32U,1口,无线3柜-正,12U,11口,B24,背-38U,11口,无线汇聚7706-1,15-24U,XGE4/0/21
4F,16#,102376880724,无线POE交换机,24U,XG0/0/3,38U,1口,无线3柜-正,32U,25口,无线3柜-正,12U,12口,B24,背-38U,12口,无线汇聚7706-1,15-24U,XGE4/0/22
5F,1#,102377155629,无线POE交换机,30U,XG0/0/3,41U,1口,无线3柜-正,30U,1口,无线3柜-正,12U,13口,B24,背-38U,13口,无线汇聚7706-1,15-24U,XGE4/0/23
5F,1#,102377155629,无线POE交换机,30U,XG0/0/4,41U,13口,无线3柜-正,30U,13口,无线3柜-正,12U,37口,B24,背-38U,37口,无线汇聚7706-2,3-12U,XGE4/0/23
5F,2#,102376880754,POE交换机,12U,XG0/0/3,41U,1口,无线3柜-正,30U,25口,无线3柜-正,12U,14口,B24,背-34U,14口,无线汇聚7706-1,15-24U,XGE5/0/9
5F,2#,102376880754,POE交换机,12U,XG0/0/4,41U,13口,无线3柜-正,30U,37口,无线3柜-正,12U,38口,B24,背-34U,38口,无线汇聚7706-2,3-12U,XGE5/0/9
5F,3#,102376880732,无线POE交换机,12U,XG0/0/3,41U,4口,无线3柜-正,28U,4口,无线3柜-正,10U,17口,B25,背-38U,17口,无线汇聚7706-3,15-24U,XGE4/0/33
5F,3#,102376880732,无线POE交换机,12U,XG0/0/4,41U,16口,无线3柜-正,28U,16口,无线3柜-正,10U,41口,B25,背-38U,41口,无线汇聚7706-4,3-12U,XGE4/0/33
5F,3#,102376880774,无线POE交换机,6U,XG0/0/3,41U,2口,无线3柜-正,28U,2口,无线3柜-正,10U,21口,B25,背-38U,21口,无线汇聚7706-3,15-24U,XGE4/0/31
5F,3#,102376880774,无线POE交换机,6U,XG0/0/4,41U,14口,无线3柜-正,28U,14口,无线3柜-正,10U,45口,B25,背-38U,45口,无线汇聚7706-4,3-12U,XGE4/0/31
